"","neighbors",".metric",".estimator","mean","n","std_err",".config"
"1",1,"accuracy","binary",0.596744351250186,10,0.00386049830103026,"Preprocessor1_Model01"
"2",1,"kap","binary",0.0073645646497615,10,0.000905579270571758,"Preprocessor1_Model01"
"3",1,"roc_auc","binary",0.612635803329713,10,0.0114538381568821,"Preprocessor1_Model01"
"4",1,"sens","binary",0.59650816149218,10,0.00386553500395978,"Preprocessor1_Model01"
"5",1,"spec","binary",0.628763445167247,10,0.022186907868473,"Preprocessor1_Model01"
"6",3,"accuracy","binary",0.596744351250186,10,0.00386049830103026,"Preprocessor1_Model02"
"7",3,"kap","binary",0.0073645646497615,10,0.000905579270571758,"Preprocessor1_Model02"
"8",3,"roc_auc","binary",0.652540520515064,10,0.0110288960689501,"Preprocessor1_Model02"
"9",3,"sens","binary",0.59650816149218,10,0.00386553500395978,"Preprocessor1_Model02"
"10",3,"spec","binary",0.628763445167247,10,0.022186907868473,"Preprocessor1_Model02"
"11",5,"accuracy","binary",0.596744351250186,10,0.00386049830103026,"Preprocessor1_Model03"
"12",5,"kap","binary",0.0073645646497615,10,0.000905579270571758,"Preprocessor1_Model03"
"13",5,"roc_auc","binary",0.663729366824762,10,0.0114933452899528,"Preprocessor1_Model03"
"14",5,"sens","binary",0.59650816149218,10,0.00386553500395978,"Preprocessor1_Model03"
"15",5,"spec","binary",0.628763445167247,10,0.022186907868473,"Preprocessor1_Model03"
"16",7,"accuracy","binary",0.603823597447936,10,0.00447291751075153,"Preprocessor1_Model04"
"17",7,"kap","binary",0.00836745719806008,10,0.000948079267192987,"Preprocessor1_Model04"
"18",7,"roc_auc","binary",0.671299948424357,10,0.0119569720526178,"Preprocessor1_Model04"
"19",7,"sens","binary",0.603502757652199,10,0.00447046300249428,"Preprocessor1_Model04"
"20",7,"spec","binary",0.649192796694681,10,0.0229183690225218,"Preprocessor1_Model04"
"21",9,"accuracy","binary",0.605156114240431,10,0.00527946892683623,"Preprocessor1_Model05"
"22",9,"kap","binary",0.00847345073318207,10,0.000943259935214368,"Preprocessor1_Model05"
"23",9,"roc_auc","binary",0.677120496804465,10,0.0122057081028652,"Preprocessor1_Model05"
"24",9,"sens","binary",0.604833732669388,10,0.00530957423431681,"Preprocessor1_Model05"
"25",9,"spec","binary",0.649891808434607,10,0.0222946420631743,"Preprocessor1_Model05"
"26",11,"accuracy","binary",0.605156117665662,10,0.00568134326250603,"Preprocessor1_Model06"
"27",11,"kap","binary",0.00852079166465474,10,0.000893179593551424,"Preprocessor1_Model06"
"28",11,"roc_auc","binary",0.681353337320189,10,0.012120917796771,"Preprocessor1_Model06"
"29",11,"sens","binary",0.604824405673502,10,0.00572028378819333,"Preprocessor1_Model06"
"30",11,"spec","binary",0.651282767202615,10,0.0203228035528874,"Preprocessor1_Model06"
"31",13,"accuracy","binary",0.604462067372549,10,0.00636219621549346,"Preprocessor1_Model07"
"32",13,"kap","binary",0.00878050458099181,10,0.000790888474862416,"Preprocessor1_Model07"
"33",13,"roc_auc","binary",0.68450161168011,10,0.0119977785727708,"Preprocessor1_Model07"
"34",13,"sens","binary",0.604069670261828,10,0.00638463364133901,"Preprocessor1_Model07"
"35",13,"spec","binary",0.661257537993956,10,0.0162222204022817,"Preprocessor1_Model07"
"36",15,"accuracy","binary",0.601602609108124,10,0.0066724989403698,"Preprocessor1_Model08"
"37",15,"kap","binary",0.00880382256905046,10,0.000746489665975874,"Preprocessor1_Model08"
"38",15,"roc_auc","binary",0.686874610960953,10,0.011915437710598,"Preprocessor1_Model08"
"39",15,"sens","binary",0.601153671089805,10,0.00670275706742249,"Preprocessor1_Model08"
"40",15,"spec","binary",0.666686551460797,10,0.0139597711353952,"Preprocessor1_Model08"
"41",17,"accuracy","binary",0.599418692044341,10,0.00692980070427676,"Preprocessor1_Model09"
"42",17,"kap","binary",0.00886590886360854,10,0.000727403911379094,"Preprocessor1_Model09"
"43",17,"roc_auc","binary",0.688856212921724,10,0.0118505281641378,"Preprocessor1_Model09"
"44",17,"sens","binary",0.598917712432133,10,0.00696549439677977,"Preprocessor1_Model09"
"45",17,"spec","binary",0.673071240871433,10,0.0148602646008564,"Preprocessor1_Model09"
"46",19,"accuracy","binary",0.597290288557051,10,0.00701928557495904,"Preprocessor1_Model10"
"47",19,"kap","binary",0.00879709012576084,10,0.000709850382294428,"Preprocessor1_Model10"
"48",19,"roc_auc","binary",0.690571816403468,10,0.0117547403312605,"Preprocessor1_Model10"
"49",19,"sens","binary",0.596765882550381,10,0.00705515485210314,"Preprocessor1_Model10"
"50",19,"spec","binary",0.674107535494684,10,0.0133885093756509,"Preprocessor1_Model10"
"51",21,"accuracy","binary",0.595763388187895,10,0.00704869883418587,"Preprocessor1_Model11"
"52",21,"kap","binary",0.00875846602436796,10,0.000592484907663488,"Preprocessor1_Model11"
"53",21,"roc_auc","binary",0.692163188164569,10,0.0116325282864248,"Preprocessor1_Model11"
"54",21,"sens","binary",0.595219436447139,10,0.00708769180049269,"Preprocessor1_Model11"
"55",21,"spec","binary",0.676255829622011,10,0.0105409097223564,"Preprocessor1_Model11"
"56",23,"accuracy","binary",0.593486943644211,10,0.00685605981979991,"Preprocessor1_Model12"
"57",23,"kap","binary",0.00881772223841925,10,0.000627452991550319,"Preprocessor1_Model12"
"58",23,"roc_auc","binary",0.693284585126748,10,0.0115008735812356,"Preprocessor1_Model12"
"59",23,"sens","binary",0.592890968947622,10,0.0068861550626757,"Preprocessor1_Model12"
"60",23,"spec","binary",0.681506504737854,10,0.0115582508453087,"Preprocessor1_Model12"
"61",25,"accuracy","binary",0.591497381042624,10,0.00669459789908526,"Preprocessor1_Model13"
