"","gvkey","key_id"
"1",1009,"Laj"
"2",1011,"VhX"
"3",1017,"wpA"
"4",1021,"XSD"
"5",1028,"bIH"
"6",1034,"Egy"
"7",1036,"rBe"
"8",1043,"QwK"
"9",1045,"57O"
"10",1050,"fIH"
"11",1054,"YDv"
"12",1056,"Aj0"
"13",1058,"RCi"
"14",1065,"FI9"
"15",1073,"nqx"
"16",1075,"iaP"
"17",1078,"rGh"
"18",1081,"egM"
"19",1082,"VJk"
"20",1094,"SpR"
"21",1095,"KWp"
"22",1096,"uQI"
"23",1098,"M5c"
"24",1099,"DXz"
"25",1104,"cTg"
"26",1108,"wiz"
"27",1109,"wCa"
"28",1111,"SyC"
"29",1115,"Jns"
"30",1116,"B9C"
"31",1117,"RNe"
"32",1121,"yKB"
"33",1128,"dtt"
"34",1137,"Kjn"
"35",1138,"Ges"
"36",1141,"7Dq"
"37",1151,"WZM"
"38",1154,"P7L"
"39",1155,"8DM"
"40",1161,"1vS"
"41",1164,"Jid"
"42",1166,"KtA"
"43",1171,"Lf1"
"44",1173,"UR5"
"45",1181,"QOQ"
"46",1186,"DxS"
"47",1189,"7OU"
"48",1197,"ksN"
"49",1203,"Cil"
"50",1208,"HDP"
"51",1209,"oaH"
"52",1210,"hNO"
"53",1212,"Ymy"
"54",1213,"z49"
"55",1228,"Wkm"
"56",1230,"kj1"
"57",1231,"Cfv"
"58",1234,"JWs"
"59",1235,"JvP"
"60",1238,"MPQ"
"61",1239,"tv7"
"62",1240,"JCd"
"63",1243,"pPX"
"64",1244,"EKX"
"65",1245,"T7e"
"66",1250,"b5a"
"67",1253,"HIu"
"68",1254,"UZH"
"69",1255,"zBX"
"70",1257,"aTl"
"71",1260,"d4d"
"72",1262,"NUP"
"73",1264,"mUX"
"74",1266,"14g"
"75",1279,"HKI"
"76",1281,"oMC"
"77",1283,"Yj3"
"78",1286,"5HZ"
"79",1297,"gCH"
"80",1300,"JPF"
"81",1311,"PJM"
"82",1318,"M4E"
"83",1324,"XEV"
"84",1327,"mtg"
"85",1328,"ZpS"
"86",1331,"VyT"
"87",1334,"1mP"
"88",1351,"sjf"
"89",1356,"HtJ"
"90",1359,"dPm"
"91",1360,"owO"
"92",1365,"NKI"
"93",1372,"Zxk"
"94",1380,"PNg"
"95",1382,"NBY"
"96",1392,"dOO"
"97",1397,"qzj"
"98",1410,"sZ1"
"99",1411,"z2C"
"100",1430,"gDt"
"101",1431,"ziu"
"102",1439,"Szq"
"103",1440,"jXa"
"104",1441,"sCA"
