"","neighbors",".metric",".estimator","mean","n","std_err",".config"
"1",1,"accuracy","binary",0.611427907403371,10,0.00130066321192967,"Preprocessor1_Model01"
"2",1,"kap","binary",0.00702841241226588,10,0.000660764780360112,"Preprocessor1_Model01"
"3",1,"roc_auc","binary",0.600971162429759,10,0.00929707269750121,"Preprocessor1_Model01"
"4",1,"sens","binary",0.611575842060866,10,0.00135866882638971,"Preprocessor1_Model01"
"5",1,"spec","binary",0.590366482798653,10,0.0191045718308689,"Preprocessor1_Model01"
"6",3,"accuracy","binary",0.611427907403371,10,0.00130066321192967,"Preprocessor1_Model02"
"7",3,"kap","binary",0.00702841241226588,10,0.000660764780360112,"Preprocessor1_Model02"
"8",3,"roc_auc","binary",0.655695068196109,10,0.00866123390028561,"Preprocessor1_Model02"
"9",3,"sens","binary",0.611575842060866,10,0.00135866882638971,"Preprocessor1_Model02"
"10",3,"spec","binary",0.590366482798653,10,0.0191045718308689,"Preprocessor1_Model02"
"11",5,"accuracy","binary",0.611427907403371,10,0.00130066321192967,"Preprocessor1_Model03"
"12",5,"kap","binary",0.00702841241226588,10,0.000660764780360112,"Preprocessor1_Model03"
"13",5,"roc_auc","binary",0.664691784190365,10,0.00911470641602513,"Preprocessor1_Model03"
"14",5,"sens","binary",0.611575842060866,10,0.00135866882638971,"Preprocessor1_Model03"
"15",5,"spec","binary",0.590366482798653,10,0.0191045718308689,"Preprocessor1_Model03"
"16",7,"accuracy","binary",0.632794306101882,10,0.00228969736372803,"Preprocessor1_Model04"
"17",7,"kap","binary",0.00874360644596924,10,0.000849478823512231,"Preprocessor1_Model04"
"18",7,"roc_auc","binary",0.670893828135339,10,0.00924428738929478,"Preprocessor1_Model04"
"19",7,"sens","binary",0.632988347650025,10,0.00227638961701401,"Preprocessor1_Model04"
"20",7,"spec","binary",0.604134016384304,10,0.0208872448389907,"Preprocessor1_Model04"
"21",9,"accuracy","binary",0.640874858959601,10,0.0024185933535301,"Preprocessor1_Model05"
"22",9,"kap","binary",0.00973130805094817,10,0.000862271302565379,"Preprocessor1_Model05"
"23",9,"roc_auc","binary",0.675752592165072,10,0.0092918922408,"Preprocessor1_Model05"
"24",9,"sens","binary",0.641034921754756,10,0.00237926059386863,"Preprocessor1_Model05"
"25",9,"spec","binary",0.617685114049038,10,0.0207437083009401,"Preprocessor1_Model05"
"26",11,"accuracy","binary",0.649272681316484,10,0.00273290601699806,"Preprocessor1_Model06"
"27",11,"kap","binary",0.0101192751166404,10,0.000925087708865539,"Preprocessor1_Model06"
"28",11,"roc_auc","binary",0.67906435446709,10,0.00945586044235627,"Preprocessor1_Model06"
"29",11,"sens","binary",0.649520105701001,10,0.00268702355993899,"Preprocessor1_Model06"
"30",11,"spec","binary",0.612311902962482,10,0.0202787167065996,"Preprocessor1_Model06"
"31",13,"accuracy","binary",0.65513233391642,10,0.00289960417585337,"Preprocessor1_Model07"
"32",13,"kap","binary",0.0105891033451617,10,0.000972901005754931,"Preprocessor1_Model07"
"33",13,"roc_auc","binary",0.681363012210399,10,0.00946635464869394,"Preprocessor1_Model07"
"34",13,"sens","binary",0.655411325408225,10,0.00284634721699312,"Preprocessor1_Model07"
"35",13,"spec","binary",0.614582451996807,10,0.0214626369308641,"Preprocessor1_Model07"
"36",15,"accuracy","binary",0.658691752662354,10,0.00316006191748858,"Preprocessor1_Model08"
"37",15,"kap","binary",0.0103368563388648,10,0.000874028214803948,"Preprocessor1_Model08"
"38",15,"roc_auc","binary",0.68320284063528,10,0.00944712331884338,"Preprocessor1_Model08"
"39",15,"sens","binary",0.659085855736445,10,0.00312932537638663,"Preprocessor1_Model08"
"40",15,"spec","binary",0.601944390355471,10,0.0195781149669385,"Preprocessor1_Model08"
"41",17,"accuracy","binary",0.662142110325175,10,0.0031984387247575,"Preprocessor1_Model09"
"42",17,"kap","binary",0.0105174567028338,10,0.000872776136815869,"Preprocessor1_Model09"
"43",17,"roc_auc","binary",0.684925353182815,10,0.00940606596012478,"Preprocessor1_Model09"
"44",17,"sens","binary",0.662570563227862,10,0.00319048747301819,"Preprocessor1_Model09"
"45",17,"spec","binary",0.600076698526718,10,0.0192454498216577,"Preprocessor1_Model09"
"46",19,"accuracy","binary",0.664144916927119,10,0.00333927753845051,"Preprocessor1_Model10"
"47",19,"kap","binary",0.0106677043174295,10,0.000831376129408856,"Preprocessor1_Model10"
"48",19,"roc_auc","binary",0.686392460899822,10,0.00935825435246878,"Preprocessor1_Model10"
"49",19,"sens","binary",0.664587789327173,10,0.00333572084054196,"Preprocessor1_Model10"
"50",19,"spec","binary",0.600775860008665,10,0.0184588491406889,"Preprocessor1_Model10"
"51",21,"accuracy","binary",0.66610807639329,10,0.00327786725549828,"Preprocessor1_Model11"
"52",21,"kap","binary",0.011047510013268,10,0.000787040232805717,"Preprocessor1_Model11"
"53",21,"roc_auc","binary",0.687370052568195,10,0.00929575884000217,"Preprocessor1_Model11"
"54",21,"sens","binary",0.666525332827196,10,0.00327173349110039,"Preprocessor1_Model11"
"55",21,"spec","binary",0.606692415480257,10,0.0162157112392633,"Preprocessor1_Model11"
"56",23,"accuracy","binary",0.667426768364205,10,0.00320259702084842,"Preprocessor1_Model12"
"57",23,"kap","binary",0.0112562845762228,10,0.000732037833909237,"Preprocessor1_Model12"
"58",23,"roc_auc","binary",0.68784694385196,10,0.00918781082402446,"Preprocessor1_Model12"
"59",23,"sens","binary",0.667833393490655,10,0.00320743288800044,"Preprocessor1_Model12"
"60",23,"spec","binary",0.610041592498221,10,0.015373068292527,"Preprocessor1_Model12"
"61",25,"accuracy","binary",0.667882867724284,10,0.0033969024082641,"Preprocessor1_Model13"
"62",25,"kap","binary",0.011229235604162,10,0.000679721857159809,"Preprocessor1_Model13"
"63",25,"roc_auc","binary",0.688134084553639,10,0.00908654744842667,"Preprocessor1_Model13"
"64",25,"sens","binary",0.668302993006131,10,0.00342376986928889,"Preprocessor1_Model13"
"65",25,"spec","binary",0.608702166430114,10,0.0146250698728401,"Preprocessor1_Model13"
"66",27,"accuracy","binary",0.667972122935614,10,0.00351399524502953,"Preprocessor1_Model14"
"67",27,"kap","binary",0.01123361225122,10,0.000598099442809646,"Preprocessor1_Model14"
"68",27,"roc_auc","binary",0.688232268658411,10,0.00899270380797164,"Preprocessor1_Model14"
"69",27,"sens","binary",0.668393659838299,10,0.00356757697932594,"Preprocessor1_Model14"
"70",27,"spec","binary",0.609756890658816,10,0.0153108564748493,"Preprocessor1_Model14"
"71",29,"accuracy","binary",0.666901341571066,10,0.00354853013230421,"Preprocessor1_Model15"
"72",29,"kap","binary",0.0110373903074923,10,0.000604379285433965,"Preprocessor1_Model15"
"73",29,"roc_auc","binary",0.688312744679825,10,0.00891857403626116,"Preprocessor1_Model15"
"74",29,"sens","binary",0.66733595061457,10,0.00361855157986902,"Preprocessor1_Model15"
