"X1009_id","X1011_id","X1017_id","X1021_id","X1028_id","X1034_id","X1036_id","X1043_id","X1045_id","X1050_id","X1054_id","X1056_id","X1058_id","X1065_id","X1073_id","X1075_id","X1078_id","X1081_id","X1082_id","X1094_id","X1095_id","X1096_id","X1098_id","X1099_id","X1104_id","X1108_id","X1109_id","X1111_id","X1115_id","X1116_id","X1117_id","X1121_id","X1128_id","X1137_id","X1138_id","X1141_id","X1151_id","X1154_id","X1155_id","X1161_id","X1164_id","X1166_id","X1171_id","X1173_id","X1181_id","X1186_id","X1189_id","X1197_id","X1203_id","X1208_id","X1209_id","X1210_id","X1212_id","X1213_id","X1228_id","X1230_id","X1231_id","X1234_id","X1235_id","X1238_id","X1239_id","X1240_id","X1243_id","X1244_id","X1245_id","X1250_id","X1253_id","X1254_id","X1255_id","X1257_id","X1260_id","X1262_id","X1264_id","X1266_id","X1279_id","X1281_id","X1283_id","X1286_id","X1297_id","X1300_id","X1311_id","X1318_id","X1324_id","X1327_id","X1328_id","X1331_id","X1334_id","X1351_id","X1356_id","X1359_id","X1360_id","X1365_id","X1372_id","X1380_id","X1382_id","X1392_id","X1397_id","X1410_id","X1411_id","X1430_id"
10.047,1.247,55.04,24.684,17.325,148.396,637.88,396.594,2657.8,0.004,102.483,71.081,46.777,7.482,0.82,387.463,2461.242,718.9,19.65,62.95,45.282,134.59,70.957,43.47,28.093,64.245,1.518,3.967,48.243,7.761,34.828,11.959,132.394,20.868,13.672,2.201,9.968,20.227,20.306,396.515,22.596,155.303,88.492,8.342,97.349,26.04,139.954,15.753,137.684,23.106,837.3,2.284,51.541,175.939,0.018,167.716,2.735,16.531,15.852,151.5,329.393,677.391,3370,3.613,496.663,10.122,2047,170.357,6.708,78.13,16.708,90.181,1.965,18.311,445.601,179.123,40.193,1.036,322.348,4316,47.751,362.955,31.835,27.509,0.44,11.108,20.782,19.745,3744,353.956,0.411,1408.8,94.496,3279.885,251.138,1594.927,54.008,132.383,107.418,2476.1
3.736,0.803,3.601,3.948,3.52,24.301,199.012,92.14,966.3,0,22.629,11.981,18.633,4.684,0.384,87.637,351.243,208.3,6.679,3.007,10.879,39.397,7.595,5.047,2.558,5.763,0.236,3.579,5.481,2.173,7.492,7.809,4.438,6.026,0.05,0.691,1.175,3.622,2.822,84.606,15.124,33.595,18.597,1,32.63,0.799,45.213,0.964,78.904,3.4,317.7,1.11,27.795,94.545,0.251,107.824,0.042,14.18,1.361,101.7,78.24,395.8,1024,0.348,241.711,0.67,1706.7,43.766,6.219,32.784,4.077,18.23,0.269,1.251,141.631,16.108,0.635,0.153,44.635,1256,9.632,116.51,2.034,4.071,0.208,1.178,3.67,6.248,763.2,6.867,0.009,289.9,26.286,1442.002,111.974,240.676,9.257,11.682,23.579,424
32.335,7.784,118.12,34.591,27.542,328.495,1011.901,677.736,13353.6,0.126,166.156,123.616,79.11,12.78,1.412,7010.645,5563.151,2475.7,76.606,68.244,214.325,170.47,129.26,60.42,37.753,81.832,2.127,4.817,58.96,11.803,55.362,19.567,243.078,33.181,17.483,3.648,15.768,24.84,23.899,1111.692,168.542,227.33,352.284,12.854,497.51,178.961,323.899,26.575,192.638,46.848,3899.5,4.877,250.345,613.534,10.086,1021.404,15.366,38.487,28.664,2082.2,436.547,2013.51,10649,3.753,756.894,15.491,2835,1371.17,36.834,198.993,26.448,324.553,2.701,69.341,4561.32,330.427,49.667,2.458,439.526,10456,149.375,2623.834,42.903,57.071,0.756,24.658,27.521,36.815,11413.2,530.868,0.915,4920.1,184.554,9056.636,1165.256,2326.767,92.781,201.696,207.003,5092
6.262,0.667,44.393,7.751,-12.142,111.015,324.132,183.566,3727.4,-0.778,112.805,54.671,-26.01,-3.604,0.183,1511.945,2833.617,1118.8,18.676,46.092,-69.585,103.882,64.092,27.807,19.826,21.341,1.344,-14.737,36.479,1.547,20.635,4.048,182.497,22.237,16.213,0.435,10.041,9.452,8.953,636.269,39.411,25.012,153.964,7.088,213.491,136.774,175.115,20.734,52.432,16.284,1688.4,1.803,89.06,263.417,7.847,279.833,-70.304,11.258,22.88,797.2,230.868,1087.882,4942,2.524,36.137,12.339,430.6,682.864,11.643,103.902,10.505,47.807,1.857,48.559,1632.306,125.7,46.558,1.989,91.356,3380,-102.09,1005.335,23.054,38.233,0.151,-0.739,15.66,19.291,5107.5,219.605,0.814,2218.4,67.361,3106.029,21.05,1370.627,36.796,79.558,109.875,2562.7
0.002,0.171,3.132,0.411,1.017,8.478,113.271,50.125,949.3,0,35.334,1.355,1.028,6.125,0.108,59.358,53.15,0,2.266,19.667,2.373,0,6.681,0.109,1.57,1.364,0.001,1.581,10.598,0.191,6.736,1.177,44.569,3.018,11.85,0.131,0.126,1.004,2.395,115.073,1.149,14.141,0.093,0.056,4.985,14.929,40.189,0.573,19.889,13.357,74.4,0.124,14.264,8.795,0.001,52.349,0.054,2.456,1.491,29.8,74.999,23.433,200,2.774,21.749,2.537,696,47.46,4.155,13.986,0.362,57.259,0.609,7.751,22.878,0.818,29.046,0.305,12.739,382,0.342,42.441,19.25,1.735,0.004,7.983,5.55,1.411,636.1,302.383,0.376,52.6,1.686,129.914,110.702,592.886,13.062,1.608,20.092,428.4
30.633,1.125,107.343,31.214,32.662,153.262,1185.288,596.137,10908.2,0,102.568,86.546,95.152,33.695,1.65,923.37,2554.206,2674.2,61.75,104.429,137.035,336.464,139.365,58.629,30.879,98.953,2.488,19.983,40.506,13.007,63.145,104.156,446.042,68.42,2.161,5.057,12.089,24.454,18.739,550.233,90.455,135.524,176.613,9.633,247.477,86.229,242.202,33.411,475.397,72.676,1471.9,21.955,166.361,905.304,0.034,960.051,10.059,84.056,32.291,283.1,362.544,6170.104,6996,4.2,2401.888,10.925,1156.5,418.436,1.463,330.913,7.147,111.829,3.7,11.718,1669.025,215.525,16.377,3.145,425.949,9800,211.111,1029.349,13.089,42.378,0.828,3.711,28.467,43.324,7721.7,38.766,0.094,2783.8,216.157,4708.925,1269.932,1083.005,109.648,572.265,263.49,2041.8
2.526,3.556,3.882,4.755,6.735,11.235,28.489,46.758,62.3,9.928,13.234,7.854,3.727,11.551,3.507,86.873,429.141,69.267,2.978,3.916,15.419,13.63,6.291,4.7,3.273,5.53,0.683,4.251,42.771,7.054,20.65,7.567,12.471,5.821,1.892,1.891,4.731,2.552,8.294,82.338,7.858,7.404,20.847,3.836,70.12,28.853,17.721,5.15,4.966,3.355,55.7,15.514,9.027,18.824,23.433,13.179,5,2.074,1.818,66.785,28.5,133.82,222.667,23.698,0.001,2.165,40.6,46.201,7.504,4.976,6.738,3.891,2.819,7.028,53.492,8.468,1.451,14.654,6,134.688,85.706,79.219,3.892,7.422,45.936,6.583,2.849,3.301,84.842,32.39,2.724,86.247,6.668,81.019,19.332,110.178,1.812,4.02,7.104,93.413
3.283,0.021,6.446,8.791,32.206,44.339,22.444,80.971,1319.1,0.624,0.121,5.677,19.889,3.321,0.114,332.366,663.832,167.2,4.948,1.878,11.835,20.187,4.723,0.567,2.258,37.069,0.49,9.382,0.145,0.5,6.818,0.328,6.138,0.626,0,0.934,1.273,0.059,2.182,61.042,1.371,58.677,3.972,1.189,0.382,5.209,29.653,2.36,4.855,2.055,103.4,0.738,4.276,8.75,0.287,61.365,85.549,0,0.816,40.8,5.084,19.907,820,0,0.049,0.137,10.1,17.12,0.785,2.16,2.471,60.548,0.013,2.5,123.654,5.41,0,0.044,181.142,697,9.551,30.313,2.591,0.315,0,2.092,1.275,0.671,192.6,0.698,0,63,8.735,393.311,50.827,30.861,11.6,2.545,3.974,250.4
32.853,2.017,6.5,0.587,0,0.273,60.769,1.146,2264.6,0.132,0,27.042,0,4.027,0.109,642.665,620.895,0,31.018,0,44.9,0,0,6.226,4.169,0,0,0,0,0,0.287,0.975,2.4,0,0,0.032,0.9,0,0.404,64.781,104.293,13.337,70,0,50.504,16.796,1.436,0,0,6.65,190.9,0,39.08,28.464,0.044,117.113,0,0,0,60.9,0.375,0,792,0.053,713.15,0,24.5,169.11,2.178,0,7.022,19.226,0,10.51,80,10.858,0,0,39.197,359,11.59,167.145,0.096,0,0.149,0.354,0,0,330.7,191.872,0,514.1,13.8,461.413,283.919,0,0,7,30,1.7
17.691,5.871,37.603,8.906,0.266,101.386,195.221,92.131,3271.9,0.226,2.143,40.827,26.644,6.262,0,3218.168,134.84,389.9,39.104,4,239.076,4.791,6.259,22.71,9.771,5.586,0,0,0,2.597,10.948,3.888,7.059,0.74,0,0.361,1.167,2.593,8.816,131.307,93.874,62.487,131.816,2.16,153.845,11.587,35.008,0.06,28.441,15.854,953.9,0.514,90.852,124.163,0.002,281.759,0.026,0,0.91,595.9,60.728,159.095,1796,0.4,458.656,0.683,182.6,406.663,14.112,48.459,5.027,105.63,0.04,7.41,1642.227,114.072,0,0.048,38.75,2051,121.568,905.189,0.242,5.349,0.207,18.275,0.65,5.329,1295.3,279.499,0,1379,41.198,2531.974,620.701,24.978,19.4,20.005,43.339,387.4
