"X1009_id","X1011_id","X1017_id"
10.047,1.247,55.04
3.736,0.803,3.601
32.335,7.784,118.12
6.262,0.667,44.393
0.002,0.171,3.132
30.633,1.125,107.343
2.526,3.556,3.882
3.283,0.021,6.446
32.853,2.017,6.5
17.691,5.871,37.603
1.971,0.7,6.271
1.431,-1.869,1.722
2.355,0.663,4.292
0,0.132,12.989
0,0,2.913
8.382,1.246,32.615
26.073,7.117,73.727
2.135,-1.869,2.574
31.767,7.328,78.331
0,0,0
5.42,-3.339,46.63
6.895,0.29,47.366
40.522,3.635,144.258
0,0.006,0
0,0,0
0.769,0,0.986
2.333,0.64,3.962
6,1.188,5.125
0.06959469,-0.06560365,0.09282247
0.046042722,-0.240937195,0.02014263
0.041934821,-0.006247966,0.002156408
0.033034369,-0.026684022,0.002745988
0.312447812,0.315904419,0.605342025
0.09508151,0.188831504,0.097550936
0.082631422,-0.211389481,-0.105779791
-0.019760947,-0.117832439,0.091205983
0.413169833,0.157887461,2.231336626
0.8735548,0.7451392,1.0151314
0.167620226,-0.428956835,0.394768033
0.161960724,-0.157887975,0.063681002
-0.042140216,0.10022779,0.066347917
