"","cost_complexity",".metric",".estimator","mean","n","std_err",".config"
"1",2.09075158128769e-07,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model01"
"2",2.09075158128769e-07,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model01"
"3",2.09075158128769e-07,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model01"
"4",2.09075158128769e-07,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model01"
"5",4.69748566771208e-07,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model02"
"6",4.69748566771208e-07,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model02"
"7",4.69748566771208e-07,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model02"
"8",4.69748566771208e-07,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model02"
"9",1.05542771297438e-06,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model03"
"10",1.05542771297438e-06,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model03"
"11",1.05542771297438e-06,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model03"
"12",1.05542771297438e-06,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model03"
"13",2.37132742090275e-06,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model04"
"14",2.37132742090275e-06,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model04"
"15",2.37132742090275e-06,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model04"
"16",2.37132742090275e-06,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model04"
"17",5.32788145317709e-06,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model05"
"18",5.32788145317709e-06,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model05"
"19",5.32788145317709e-06,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model05"
"20",5.32788145317709e-06,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model05"
"21",1.19706458622664e-05,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model06"
"22",1.19706458622664e-05,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model06"
"23",1.19706458622664e-05,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model06"
"24",1.19706458622664e-05,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model06"
"25",2.68955613256645e-05,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model07"
"26",2.68955613256645e-05,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model07"
"27",2.68955613256645e-05,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model07"
"28",2.68955613256645e-05,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model07"
"29",6.04287544169007e-05,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model08"
"30",6.04287544169007e-05,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model08"
"31",6.04287544169007e-05,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model08"
"32",6.04287544169007e-05,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model08"
"33",0.000135770892310531,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model09"
"34",0.000135770892310531,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model09"
"35",0.000135770892310531,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model09"
"36",0.000135770892310531,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model09"
"37",0.000305049067727306,"accuracy","binary",0.627231956400757,10,0.00434740786174514,"Preprocessor1_Model10"
"38",0.000305049067727306,"kap","binary",0.0110746951333642,10,0.00118928099022203,"Preprocessor1_Model10"
"39",0.000305049067727306,"sens","binary",0.627165542427265,10,0.00441881143354865,"Preprocessor1_Model10"
"40",0.000305049067727306,"spec","binary",0.631885136582691,10,0.0184440385692763,"Preprocessor1_Model10"
"41",0.000685382058979667,"accuracy","binary",0.62615971775386,10,0.00452786977131269,"Preprocessor1_Model11"
"42",0.000685382058979667,"kap","binary",0.0111909191385197,10,0.00124016341566453,"Preprocessor1_Model11"
"43",0.000685382058979667,"sens","binary",0.626041321187114,10,0.00461247500169776,"Preprocessor1_Model11"
"44",0.000685382058979667,"spec","binary",0.636191554802152,10,0.0198455490724407,"Preprocessor1_Model11"
"45",0.00153991149775003,"accuracy","binary",0.626420324896751,10,0.0057281309491223,"Preprocessor1_Model12"
"46",0.00153991149775003,"kap","binary",0.0113943798613096,10,0.00137832224643117,"Preprocessor1_Model12"
"47",0.00153991149775003,"sens","binary",0.626300668214636,10,0.00579114898854797,"Preprocessor1_Model12"
"48",0.00153991149775003,"spec","binary",0.637727714933367,10,0.0201064585970033,"Preprocessor1_Model12"
"49",0.00345986211607722,"accuracy","binary",0.631782177637814,10,0.00719420777190375,"Preprocessor1_Model13"
"50",0.00345986211607722,"kap","binary",0.0126647414081977,10,0.00115542983142155,"Preprocessor1_Model13"
"51",0.00345986211607722,"sens","binary",0.63152625802173,10,0.00739176698769184,"Preprocessor1_Model13"
"52",0.00345986211607722,"spec","binary",0.663620965418213,10,0.0231776051321465,"Preprocessor1_Model13"
"53",0.00777359340439803,"accuracy","binary",0.635466744522458,10,0.0119258068931472,"Preprocessor1_Model14"
"54",0.00777359340439803,"kap","binary",0.0139317873094372,10,0.00130711438183243,"Preprocessor1_Model14"
"55",0.00777359340439803,"sens","binary",0.635072949477089,10,0.0121285850420516,"Preprocessor1_Model14"
"56",0.00777359340439803,"spec","binary",0.682328236841745,10,0.0215144995546089,"Preprocessor1_Model14"
"57",0.0174656539450232,"accuracy","binary",0.636759666542891,10,0.0225604370372352,"Preprocessor1_Model15"
"58",0.0174656539450232,"kap","binary",0.0144321840895953,10,0.00205571063055406,"Preprocessor1_Model15"
"59",0.0174656539450232,"sens","binary",0.636509281812833,10,0.0229113698409165,"Preprocessor1_Model15"
"60",0.0174656539450232,"spec","binary",0.673014444845193,10,0.0238008165877255,"Preprocessor1_Model15"
"61",0.0392417061014176,"accuracy","binary",0.607311735910133,10,0.0159436878515621,"Preprocessor1_Model16"
"62",0.0392417061014176,"kap","binary",0.0103657338479841,10,0.000889327201343575,"Preprocessor1_Model16"
"63",0.0392417061014176,"sens","binary",0.60692096184168,10,0.0161733235304373,"Preprocessor1_Model16"
"64",0.0392417061014176,"spec","binary",0.647870287368552,10,0.0194288562298648,"Preprocessor1_Model16"
"65",0.088167984010059,"accuracy","binary",0.553208480612113,10,0.0473341490190279,"Preprocessor1_Model17"
"66",0.088167984010059,"kap","binary",0.00815176797907681,10,0.00120460650148359,"Preprocessor1_Model17"
"67",0.088167984010059,"sens","binary",0.55216652891724,10,0.0480816907061891,"Preprocessor1_Model17"
"68",0.088167984010059,"spec","binary",0.660695246805342,10,0.0428269486199679,"Preprocessor1_Model17"
"69",0.198095194543981,"accuracy","binary",0.633510886110395,10,0.0465057472607512,"Preprocessor1_Model18"
"70",0.198095194543981,"kap","binary",0.00786975887044278,10,0.00136555306430978,"Preprocessor1_Model18"
"71",0.198095194543981,"sens","binary",0.634139884454293,10,0.0475061684010792,"Preprocessor1_Model18"
"72",0.198095194543981,"spec","binary",0.566492348254617,10,0.0694182935539139,"Preprocessor1_Model18"
"73",0.445078863286025,"accuracy","binary",0.991971988922557,10,0.000488416019574736,"Preprocessor1_Model19"
"74",0.445078863286025,"kap","binary",0,10,0,"Preprocessor1_Model19"
"75",0.445078863286025,"sens","binary",1,10,0,"Preprocessor1_Model19"
"76",0.445078863286025,"spec","binary",0,10,0,"Preprocessor1_Model19"
"77",1,"accuracy","binary",0.991971988922557,10,0.000488416019574736,"Preprocessor1_Model20"
"78",1,"kap","binary",0,10,0,"Preprocessor1_Model20"
"79",1,"sens","binary",1,10,0,"Preprocessor1_Model20"
"80",1,"spec","binary",0,10,0,"Preprocessor1_Model20"
